AET,FE,0.008812
AET,FISV,0.013606
AET,FLIR,0.024026
AET,FLS,0.010858
AET,FLR,0.025339
AET,FMC,0.008049
AET,FL,0.015265
AET,F,0.043550
AET,FBHS,0.009109
AET,FCX,0.013526
AET,FTR,0.003898
AET,GPS,0.037463
AET,GRMN,0.010115
AET,GD,0.019445
AET,GE,0.017680
AET,GGP,0.009528
AET,GIS,0.001463
AET,GM,0.006816
AET,GPC,0.010172
AET,GILD,0.035750
AET,GPN,0.016896
AET,GS,0.036451
AET,GT,0.005664
AET,GWW,0.002219
AET,HAL,0.000444
AET,HBI,0.022394
AET,HOG,0.010142
AET,HAR,0.046667
AET,HRS,0.018957
AET,HIG,0.009307
AET,HAS,0.000820
AET,HCA,0.010696
AET,HCP,0.017815
AET,HP,0.002887
AET,HES,0.009948
AET,HOLX,0.030970
AET,HD,0.020208
AET,HON,0.006516
AET,HRL,0.001804
AET,HST,0.038575
AET,HPQ,0.023690
AET,HBAN,0.037636
AET,ITW,0.011935
AET,ILMN,0.038836
AET,IR,0.009636
AET,INTC,0.013824
AET,ICE,0.016721
AET,IBM,0.001094
AET,IP,0.008423
AET,IPG,0.020324
AET,IFF,0.014055
AET,INTU,0.012555
AET,ISRG,0.005915
AET,IRM,0.001066
AET,JEC,0.001648
AET,JBHT,0.012832
AET,SJM,0.012942
AET,JNJ,0.009867
AET,JCI,0.000712
AET,JPM,0.046335
AET,JNPR,0.009764
AET,KSU,0.003501
AET,K,0.015630
AET,KMB,0.024965
AET,KIM,0.015279
AET,KMI,0.035194
AET,KLAC,0.020902
AET,KSS,0.030544
AET,KR,0.035553
AET,LB,0.000854
AET,LLL,0.007718
AET,LH,0.005342
AET,LRCX,0.023907
AET,LM,0.042320
AET,LEG,0.004347
AET,LEN,0.026248
AET,LVLT,0.030312
AET,LUK,0.037729
AET,LLY,0.024000
AET,LNC,0.043504
AET,LLTC,0.020119
AET,LKQ,0.000431
AET,LMT,0.008633
AET,L,0.008316
AET,LOW,0.009537
AET,LYB,0.031454
AET,MTB,0.033256
AET,MAC,0.015564
AET,M,0.040794
AET,MRO,0.036308
AET,MPC,0.020565
AET,MAR,0.036919
AET,MMC,0.002963
AET,MLM,0.000018
AET,MAS,0.010210
AET,MA,0.036279
AET,MAT,0.019432
AET,MKC,0.008206
AET,MCD,0.022806
AET,MCK,0.038749
AET,MJN,0.009808
AET,MDT,0.010016
AET,MRK,0.006441
