S1,S2,Proift,Return
PXD,HES,7050.31515771,1.07050315158
PXD,OXY,-10230.5122031,0.897694877969
PXD,APA,2550.58032965,1.0255058033
PXD,NBL,-11833.7429167,0.881662570833
XEC,NFX,3383.32285018,1.0338332285
XEC,CXO,20189.5186488,1.20189518649
XEC,EOG,12280.7884318,1.12280788432
HES,NFX,12369.3848343,1.12369384834
HES,CXO,17768.2153415,1.17768215341
HES,NBL,3709.45368836,1.03709453688
HES,EOG,8231.07372765,1.08231073728
MRO,NFX,23253.904066,1.23253904066
MRO,BHI,-23706.7197908,0.762932802092
MRO,DVN,-34566.3706734,0.654336293266
MRO,HAL,-5471.76031822,0.945282396818
MRO,NBL,-14264.3092986,0.857356907014
NFX,NBL,31053.4865197,1.3105348652
NFX,EOG,17767.4652884,1.17767465288
COP,NBL,14823.6277048,1.14823627705
WMB,BHI,11935.5904534,1.11935590453
WMB,NOV,72154.8597016,1.72154859702
WMB,HAL,42427.2200933,1.42427220093
WMB,SLB,25314.5073433,1.25314507343
WMB,OKE,-35501.137696,0.64498862304
WMB,MUR,56559.6690027,1.56559669003
RIG,EOG,-24631.0327505,0.753689672495
BHI,DVN,-29977.8839827,0.700221160173
BHI,CXO,2422.12253668,1.02422122537
BHI,NOV,38520.8486504,1.3852084865
BHI,SWN,-43558.3190502,0.564416809498
BHI,OXY,17760.1498156,1.17760149816
BHI,RRC,15887.8490467,1.15887849047
BHI,HAL,349.271139398,1.00349271139
BHI,COG,5537.32020132,1.05537320201
BHI,SLB,12162.5600176,1.12162560018
BHI,APA,6666.84987047,1.0666684987
BHI,FTI,9366.56072649,1.09366560726
BHI,CHK,-2150.50061221,0.978494993878
BHI,EQT,-13801.9026813,0.861980973187
BHI,NBL,19340.8444416,1.19340844442
BHI,APC,174.706205679,1.00174706206
BHI,HP,4400.54726857,1.04400547269
BHI,OKE,-24373.7358563,0.756262641437
BHI,MUR,27839.6367389,1.27839636739
BHI,KMI,-15071.8935571,0.849281064429
BHI,EOG,15861.1479705,1.15861147971
XOM,CXO,14770.6540438,1.14770654044
XOM,RRC,23.2673025574,1.00023267303
XOM,HAL,-694.799707477,0.993052002925
XOM,COG,21273.4354595,1.2127343546
XOM,SLB,6004.31135983,1.0600431136
XOM,APA,21795.5004606,1.21795500461
XOM,NBL,23511.755513,1.23511755513
XOM,HP,29032.0021944,1.29032002194
XOM,OKE,-6175.7250817,0.938242749183
XOM,MUR,-4101.94711481,0.958980528852
XOM,VLO,-7234.02697123,0.927659730288
SE,COG,37804.0526804,1.3780405268
SE,VLO,-25949.6754628,0.740503245372
DVN,NBL,-23879.8179925,0.761201820075
DVN,APC,-19051.7442853,0.809482557147
CXO,OXY,5428.38667073,1.05428386671
CXO,NBL,12474.5451002,1.124745451
CXO,OKE,-3855.8456818,0.961441543182
CXO,MUR,25875.7065214,1.25875706521
CXO,EOG,16021.9097658,1.16021909766
NOV,RRC,35454.2282382,1.35454228238
NOV,HAL,31821.0307169,1.31821030717
NOV,CHK,-15555.3059612,0.844446940388
NOV,EQT,-22631.5149843,0.773684850157
NOV,NBL,56984.4787776,1.56984478778
NOV,APC,-2583.2558464,0.974167441536
NOV,OKE,7261.56957463,1.07261569575
NOV,MUR,9390.31739081,1.09390317391
NOV,KMI,2261.53626598,1.02261536266
NOV,EOG,6910.35372343,1.06910353723
SWN,RRC,40139.5559182,1.40139555918
SWN,COG,21152.9837084,1.21152983708
OXY,HAL,1788.72714658,1.01788727147
OXY,SLB,9180.54293958,1.0918054294
OXY,APA,9446.95424547,1.09446954245
OXY,NBL,22198.4994144,1.22198499414
OXY,APC,-4137.15057219,0.958628494278
OXY,OKE,-16235.2252777,0.837647747223
OXY,MUR,26628.2155584,1.26628215558
OXY,VLO,-6645.6324922,0.933543675078
OXY,EOG,10118.5525067,1.10118552507
RRC,HAL,37505.41144,1.3750541144
RRC,EQT,19997.8032371,1.19997803237
RRC,OKE,10748.0679618,1.10748067962
HAL,OKE,-9237.43253579,0.907625674642
COG,EQT,10689.0989917,1.10689098992
SLB,MUR,18182.4391231,1.18182439123
APA,NBL,28371.6062785,1.28371606278
APA,HP,14667.1333301,1.1466713333
APA,MUR,48056.7993307,1.48056799331
FTI,CHK,40070.1510433,1.40070151043
FTI,NBL,20680.9377188,1.20680937719
FTI,APC,-2411.83346769,0.975881665323
FTI,TSO,1224.16406914,1.01224164069
FTI,MPC,3663.58286798,1.03663582868
FTI,EOG,10458.0440059,1.10458044006
CHK,OKE,-20801.8701861,0.791981298139
CHK,KMI,7713.05517346,1.07713055173
NBL,APC,2458.72459534,1.02458724595
NBL,CVX,15259.2009291,1.15259200929
NBL,HP,22450.1548008,1.22450154801
NBL,OKE,51300.1346573,1.51300134657
NBL,MUR,13888.5675459,1.13888567546
NBL,EOG,3423.37320419,1.03423373204
CVX,MUR,26690.2517163,1.26690251716
HP,OKE,-16499.9428445,0.835000571555
HP,VLO,22062.0847272,1.22062084727
HP,KMI,-14889.7511884,0.851102488116
